player,date,game_num,score,LOSS
Chris,2022-02-12 22:08:39,238,5,0.0
Dad,2022-02-12 01:04:00,238,5,0.0
Danielle,2022-02-12 00:25:25,238,3,0.0
Michael,2022-02-12 00:22:27,238,4,0.0
Danielle,2022-02-11 12:07:55,237,3,0.0
Michael,2022-02-11 06:58:51,237,5,0.0
Dad,2022-02-11 01:32:41,237,3,0.0
Michael,2022-02-10 19:12:08,236,6,0.0
Danielle,2022-02-10 10:53:24,236,3,0.0
Danielle,2022-02-09 09:32:42,235,3,0.0
Michael,2022-02-09 08:40:19,235,5,0.0
Dad,2022-02-09 01:24:54,235,5,0.0
Danielle,2022-02-08 09:53:33,234,3,0.0
Dad,2022-02-08 01:22:21,234,6,0.0
Michael,2022-02-08 00:06:40,234,5,0.0
Danielle,2022-02-07 12:46:56,233,5,0.0
Dad,2022-02-07 01:09:32,233,3,0.0
Michael,2022-02-07 00:08:46,233,2,0.0
Danielle,2022-02-06 11:14:47,232,4,0.0
Michael,2022-02-06 02:06:13,232,5,0.0
Danielle,2022-02-05 11:54:27,231,4,0.0
Michael,2022-02-05 10:31:55,231,4,0.0
Michael,2022-02-04 08:41:31,230,5,0.0
Danielle,2022-02-04 08:39:54,230,4,0.0
Dad,2022-02-04 01:43:39,230,3,0.0
